atzA
atzB
atzC
tfdA
masD
bamA
xylXYZ
XylX-BenA
XylY-BenB
XylZ-BenC
xylX
tmoABCDE
trzN
NAH7
nahD
nahF
nahB
linA
libA
nphRA1A2
npsC
npsRA2A1B
npsB
pADP-1
puhA
puhB
Cytochrome P450
UbiX
cadA
tftA
tfdA4
HylA
tceA
vcrA
trzD
BbdA
mnp1
mnp2
mnp3
xylA
xylM
rdpA
sdpA
cndA
His6
abcA
prpH
atzD
amoA
assA
pBAM1
pBAM2
atzR
nfsI
ampA
FTHFS
lip
mnp
carA
hdt
hdg
SadA
SadB
SadC
pEMT1
pP51
tcbA
tcbB
tcbC
tcbD
tcbE
pHRIM620
sdsA
sdsB
MerA
pdmAB
PdmA
PdmB
sulE
alkBFGHJKL
alkST
AlkJ
AlkK
AlkL
AlcA
